id;published_name;total_published_num;one_thousand_num;three_thousand_num;five_thousand_num;seven_thousand_num;ten_thousand_num;auto_published_num;total_published_price;published_dt;expire_dt;coupon_published_histories_state
1;mobile Fish;77969;59865;59685;15601;44583;15599;9997;5808;2020-02-09T20:06:30;2020-02-09T10:20:32;NORMAL
2;Tasty Metal Bacon;93855;21233;77;18182;99221;18340;61748;30424;2020-02-09T16:27:02;2020-02-09T18:32:10;NORMAL
3;Namibia;39986;13949;4666;29214;97375;36636;23277;45606;2020-02-10T04:57:20;2020-02-09T12:17:10;NORMAL
4;Canyon HDD;68030;17052;45049;6505;1326;94888;94220;96563;2020-02-09T17:36:41;2020-02-09T11:43:44;ABNORMAL
5;Monitored Bahamian Dollar Investment Account;83319;3438;17336;90932;39106;25877;18223;66252;2020-02-09T13:00:06;2020-02-09T23:38:57;NORMAL
6;Industrial;84228;77513;44975;93949;39515;89482;92665;59789;2020-02-09T13:40:33;2020-02-09T09:00:19;ABNORMAL
7;Aruba;96117;32533;84453;38867;74732;27134;53969;82873;2020-02-09T17:02:54;2020-02-09T22:34:05;NORMAL
8;Car Industrial deliverables;39488;19871;29348;552;1407;81546;19884;70685;2020-02-09T14:03:29;2020-02-09T13:38:03;NORMAL
9;generating Highway Ergonomic;37081;31098;66884;32518;66592;72960;59129;63755;2020-02-10T00:32:13;2020-02-09T09:50:14;NORMAL
10;synthesizing hard drive Robust;25606;49379;4043;52273;71066;42754;11089;2541;2020-02-09T20:35:10;2020-02-10T04:32:27;NORMAL
