id;invite_name;invite_serial;invite_create_dt;invite_expiration_dt;manager_name;accommodation_name;inflow_num;reservation_num;manager_id;accommodation_id;invite_card_state
1;mobile Fish;Home Loan Account Table Computer;2020-02-10T10:47:56;2020-02-10T01:10:16;seamless Metal deposit;Producer;83244;93855;21233;77;NORMAL
2;methodology Albania;Home Namibia;2020-02-10T02:35:47;2020-02-10T08:50:42;zero administration;Multi-channelled Licensed;61838;19967;38246;51423;NORMAL
3;Automotive;Planner cross-platform access;2020-02-10T09:50:56;2020-02-10T06:39:05;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;66252;75536;31171;42515;NORMAL
4;Facilitator;Views e-enable Communications;2020-02-09T18:44:19;2020-02-09T14:04:05;Awesome;Aruba;96117;32533;84453;38867;DELETE
5;Home Loan Account;Plastic;2020-02-09T16:56:25;2020-02-10T08:13:36;Industrial;index orange;552;1407;81546;19884;WAITING
6;world-class Frozen IB;Highway Ergonomic;2020-02-10T03:17:36;2020-02-10T04:43:46;moratorium pixel withdrawal;Mississippi embrace Developer;84891;76078;72172;56127;NORMAL
7;Sleek Metal Table Small;Intelligent Outdoors;2020-02-09T20:55:09;2020-02-10T00:47:03;Montana;Corporate Phased relationships;75555;20306;22879;94285;ABNORMAL
8;Salad Web virtual;Refined Squares;2020-02-10T06:57:01;2020-02-10T07:42:55;Human Ghana;Fresh granular Direct;27213;22793;64769;42710;NORMAL
9;ability Hat Iraq;magenta Concrete;2020-02-10T04:05:25;2020-02-10T06:20:02;Gloves sky blue Oklahoma;robust Engineer;96244;24687;25178;69630;ABNORMAL
10;Computers Personal Loan Account Berkshire;Home;2020-02-10T03:54:41;2020-02-09T14:23:41;Public-key Granite;Way Dominican Republic;59269;67213;8085;76161;ABNORMAL
