id;selling_price;commission;payment_money;payment_type;payment_dt;coupon_discount;transaction_num;payment_method;remark;reservation_id;payment_state
1;37454;79654;95071;application;2020-02-10T18:24:58;59685;Dam;Practical Fresh Pants;Metal deposit;5641;DELETE
2;99221;18340;61748;Home Loan Account;2020-02-11T08:36:51;43194;intangible;enable Gorgeous Frozen Pants;Common;78517;NORMAL
3;59241;46676;4645;Credit Card Account Table Small Frozen Sausages;2020-02-10T09:36:32;56328;envisioneer Music Public-key;infomediaries;Investment Account;83319;ABNORMAL
4;39106;25877;18223;copy convergence;2020-02-11T03:47:36;54671;Chair Facilitator;Views e-enable Communications;National Awesome sky blue;4522;NORMAL
5;82873;58675;35675;mission-critical Faroe Islands Plastic;2020-02-10T13:31:53;16526;Industrial;index orange;Jewelery;19884;NORMAL
6;92630;35846;65107;Internal;2020-02-10T12:22:59;62329;archive Fantastic Plastic Chicken;payment;withdrawal COM;47221;DELETE
7;76078;72172;56127;compress;2020-02-10T20:55:59;4043;system Small;Intelligent Outdoors;Harbor Montana;69551;NORMAL
8;20306;22879;94285;Money Market Account;2020-02-10T16:06:33;16122;Web virtual deposit;Squares mint green e-business;Ghana back-end National;31800;NORMAL
9;81801;35256;86073;Games;2020-02-10T20:31:34;53408;Bedfordshire Bahamian Dollar;24/7;Gloves sky blue Oklahoma;40383;DELETE
10;69630;49724;71227;Plastic;2020-02-10T08:50:18;3688;Personal Loan Account;paradigms Home;Investor Public-key;14489;NORMAL
