id;published_uniq_code;published_coupon_amount_type;use_dt;published_coupon_all_use;published_coupon_use_affiliate_id;published_dt;use_check;coupon_published_histories_id
1;mobile Fish;ONETHOUSAND;2020-02-10T07:01:15;false;86617;2020-02-10T00:24:21;true;14286
2;deposit Tasty Metal Bacon Implementation;ONETHOUSAND;2020-02-10T04:00:47;true;30424;2020-02-09T17:44:07;true;706
3;Home Namibia;THREETHOUSAND;2020-02-09T23:37:20;false;45606;2020-02-10T06:14:25;true;61838
4;syndicate;TENTHOUSAND;2020-02-10T06:51:13;false;94888;2020-02-09T09:48:08;true;56328
5;envisioneer Music Public-key;TENTHOUSAND;2020-02-10T05:29:09;true;49517;2020-02-09T12:25:06;false;17336
6;incentivize Tuna copy;ONETHOUSAND;2020-02-10T03:58:42;false;96958;2020-02-09T12:12:00;true;44975
7;e-enable Communications capacitor;ONETHOUSAND;2020-02-10T03:42:40;true;4522;2020-02-09T09:20:49;false;84453
8;compress South Georgia and the South Sandwich Islands;ONETHOUSAND;2020-02-09T19:23:24;false;14092;2020-02-10T01:18:15;true;16526
9;Industrial;FIVETHOUSAND;2020-02-10T08:16:56;false;81546;2020-02-10T03:38:33;true;71134
10;1080p Checking Account Identity;ONETHOUSAND;2020-02-09T17:27:21;false;33089;2020-02-10T06:07:30;false;37081
