id;published_coupon_name;published_coupon_type;published_coupon_all_use;published_coupon_use_affiliate_id;published_coupon_amount_type;published_coupon_duplication;published_coupon_auto_publish;published_coupon_use_type_limit;published_coupon_use_type;published_coupon_use_price_limit;published_coupon_use_price;published_coupon_use_expire_limit;published_coupon_use_expire_month;published_coupon_create_dt;published_coupon_update_dt;published_coupon_current_published_dt;published_coupon_amount_num;published_coupon_sold_num;coupon_state;coupon_published_histories_id
1;mobile Fish;AFFILIATECOUPON;false;45924;FIVETHOUSAND;false;true;true;RELAYRENT;true;30424;true;52475;2020-02-10T08:12:30;2020-02-09T22:00:41;2020-02-10T07:49:28;29122;52477;NORMAL;23277
2;Licensed Savings Account;ABSOLUTECOUPON;false;85994;THREETHOUSAND;false;true;true;FULLRENT;false;68423;false;44015;2020-02-09T15:58:47;2020-02-10T05:26:56;2020-02-09T17:44:17;49517;83319;NORMAL;39106
3;Tuna;ABSOLUTECOUPON;false;3131;THREETHOUSAND;true;true;true;DAYUSE;true;32533;true;38867;2020-02-09T14:26:33;2020-02-10T01:51:56;2020-02-09T19:25:32;82873;58675;DELETE;27599
4;scalable;AFFILIATECOUPON;true;42340;THREETHOUSAND;false;true;true;FULLRENT;true;11586;true;86310;2020-02-09T11:58:38;2020-02-09T17:25:08;2020-02-09T21:35:28;33089;9541;NORMAL;66884
5;payment;ABSOLUTECOUPON;false;38292;FIVETHOUSAND;true;true;true;FULLRENT;false;52273;true;42754;2020-02-10T05:43:00;2020-02-10T07:46:04;2020-02-09T21:50:02;10789;20171;ABNORMAL;47537
6;Montana;AFFILIATECOUPON;true;20306;FIVETHOUSAND;true;false;true;RELAYRENT;true;80812;false;63340;2020-02-10T05:50:46;2020-02-09T11:27:47;2020-02-09T21:25:16;80367;21844;NORMAL;88328
7;projection Fresh;AFFILIATECOUPON;false;64769;SEVENTHOUSAND;false;false;false;RELAYRENT;true;11986;false;33761;2020-02-10T02:31:08;2020-02-09T09:44:54;2020-02-10T04:20:20;32320;21876;ABNORMAL;6489
8;Versatile Exclusive Moroccan Dirham;ABSOLUTECOUPON;true;97661;THREETHOUSAND;false;true;true;FULLRENT;true;48945;false;98565;2020-02-09T19:06:31;2020-02-10T02:34:07;2020-02-09T18:09:12;67213;8085;DELETE;47030
9;Orchestrator deliver;ABSOLUTECOUPON;false;69581;FIVETHOUSAND;false;true;false;DAYUSE;true;22649;false;64517;2020-02-10T06:04:11;2020-02-10T04:11:35;2020-02-09T09:48:20;69093;39757;NORMAL;67569
10;bandwidth azure;AFFILIATECOUPON;true;17495;FIVETHOUSAND;true;false;true;DAYUSE;false;34920;true;72595;2020-02-09T12:03:30;2020-02-09T10:50:51;2020-02-09T11:49:35;88708;40450;ABNORMAL;78534
