id;order_uniq_num;order_user_name;order_user_num;transportation;accommodation_name;room_name;reservation_price;room_discount_per;coupon_apply;coupon_name;coupon_discount_price;coupon_type;payment_price;payment_type;affiliate_commission;manager_commission;investment_commission;use_start_time;use_end_time;order_create_dt;check_in_dt;check_out_dt;order_state;ho_member_id;manager_id;affiliate_id;accommodation_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;30424;61165;true;web-readiness;29122;Investment Account Steel;29214;24/7 Common bluetooth;19967;38246;51423;2020-02-09T16:03:55;2020-02-10T01:26:41;2020-02-10T04:27:37;2020-02-10T14:32:52;2020-02-09T19:01:27; USEOK;1326;94888;94220;96563
2;cross-platform access;Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;20794;54671;true;Industrial;84228;Views e-enable Communications;72727;archive Georgia Aruba;96117;32533;84453;2020-02-10T06:20:04;2020-02-09T21:43:37;2020-02-10T09:09:01;2020-02-10T02:42:36;2020-02-09T19:46:23; RESERVATIONFAIL;54269;27599;14092;29627
3;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;72960;59129;true;COM;47221;Frozen bus;76078;Idaho compress Avon;52273;71066;42754;2020-02-10T13:00:04;2020-02-10T15:03:09;2020-02-10T05:07:07;2020-02-10T13:04:23;2020-02-10T10:49:17; RESERVATIONFAIL;47537;31435;56327;50857
4;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;35629;31800;true;contextually-based;64769;Jewelery cutting-edge;30478;Hat;53408;41741;48482;2020-02-10T10:19:55;2020-02-09T23:02:39;2020-02-10T12:47:09;2020-02-10T09:11:48;2020-02-10T07:33:35; RESERVATIONFAIL;32320;21876;51879;55810
5;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;24205;59269;true;navigate;23763;transmitter;36778;invoice withdrawal;53577;81643;9028;2020-02-09T20:30:09;2020-02-09T19:36:56;2020-02-10T12:02:43;2020-02-10T07:57:50;2020-02-10T03:27:57; RESERVATIONCANCEL;85835;59089;32595;67756
6;Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;55520;true;content-based Executive;96541;Virginia THX pink;27887;Saint Helena Pound programming;85632;88708;40450;2020-02-09T20:56:44;2020-02-09T18:21:23;2020-02-10T00:15:14;2020-02-09T19:14:26;2020-02-10T13:38:35; USEOK;919;37228;10147;94013
7;Supervisor clear-thinking;Latvia;Ports Manager Fish;Networked;Fish;payment calculating;65761;30806;true;Sleek turn-key;26520;Persevering;97301;target Human withdrawal;79481;35007;50263;2020-02-10T00:10:49;2020-02-10T01:49:01;2020-02-09T23:36:31;2020-02-10T03:50:32;2020-02-09T18:55:22; RESERVATIONOK;49919;28077;57200;2431
8;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;compressing;Bedfordshire;37268;55680;false;calculating Intranet Ergonomic Concrete Soap;67114;intuitive Open-architected system-worthy;32255;calculating Metal array;55281;29359;29651;2020-02-09T20:14:17;2020-02-10T05:35:16;2020-02-09T20:13:12;2020-02-10T09:30:49;2020-02-09T18:51:11; RESERVATIONCANCEL;50151;62789;79829;19427
9;Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;12706;32665;true;compress lavender Investment Account;8534;Intelligent Granite Shirt Peru deposit;72609;Strategist;51630;71459;32295;2020-02-10T14:40:37;2020-02-09T20:34:42;2020-02-10T06:05:27;2020-02-10T09:09:45;2020-02-10T05:15:29;DEPOSITWAIT;18433;96264;8087;83598
10;Saudi Riyal paradigms;Corporate;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;15864;75784;false;leading-edge;9179;Small;31141;Developer Shoes Music;76336;49161;80691;2020-02-10T04:17:57;2020-02-10T07:21:05;2020-02-10T11:30:20;2020-02-10T04:30:38;2020-02-10T05:15:01;DEPOSITWAIT;63509;88668;4530;26089
