id;sell_dt;sell_amount;sell_sold_num;sell_start_time;sell_end_time;sell_use_time;coupon_boolean;sell_state
1;2020-02-06T02:23:40;79654;95071;18343;73199;77969;59865;DELETE
2;2020-02-06T09:59:21;45924;86617;33370;60111;14286;70807;DELETE
3;2020-02-05T15:24:18;93855;21233;77;18182;99221;18340;DELETE
4;2020-02-06T01:01:00;2306;29122;52477;61185;39986;13949;DELETE
5;2020-02-06T02:35:27;23277;45606;9060;78517;61838;19967;ABNORMAL
6;2020-02-06T10:16:07;85994;60754;68030;17052;45049;6505;ABNORMAL
7;2020-02-05T12:12:30;56328;80839;38541;30461;1596;9767;DELETE
8;2020-02-06T00:49:11;68326;12203;60999;49517;83319;3438;NORMAL
9;2020-02-06T05:10:22;18223;66252;75536;31171;42515;52006;DELETE
10;2020-02-06T06:56:49;3131;96958;84228;77513;44975;93949;DELETE
